Capitales de Provincia;Sexo;Año;Total
Total;Hombre;2023;7.202.842
Total;Hombre;2022;7.099.329
Total;Mujer;2023;7.980.157
Total;Mujer;2022;7.862.979
01059 Vitoria-Gasteiz;Hombre;2023;124.170
01059 Vitoria-Gasteiz;Hombre;2022;123.093
01059 Vitoria-Gasteiz;Mujer;2023;131.253
01059 Vitoria-Gasteiz;Mujer;2022;130.037
02003 Albacete;Hombre;2023;84.592
02003 Albacete;Hombre;2022;84.082
02003 Albacete;Mujer;2023;88.610
02003 Albacete;Mujer;2022;87.978
03014 Alacant/Alicante;Hombre;2023;169.208
03014 Alacant/Alicante;Hombre;2022;164.511
03014 Alacant/Alicante;Mujer;2023;181.390
03014 Alacant/Alicante;Mujer;2022;175.749
04013 Almería;Hombre;2023;97.782
04013 Almería;Hombre;2022;96.714
04013 Almería;Mujer;2023;102.883
04013 Almería;Mujer;2022;101.730
05019 Ávila;Hombre;2023;27.873
05019 Ávila;Hombre;2022;27.754
05019 Ávila;Mujer;2023;30.675
05019 Ávila;Mujer;2022;30.474
06015 Badajoz;Hombre;2023;72.923
06015 Badajoz;Hombre;2022;72.914
06015 Badajoz;Mujer;2023;77.793
06015 Badajoz;Mujer;2022;77.669
07040 Palma;Hombre;2023;210.280
07040 Palma;Hombre;2022;206.237
07040 Palma;Mujer;2023;220.360
07040 Palma;Mujer;2022;215.696
08019 Barcelona;Hombre;2023;788.057
08019 Barcelona;Hombre;2022;768.009
08019 Barcelona;Mujer;2023;867.899
08019 Barcelona;Mujer;2022;847.115
09059 Burgos;Hombre;2023;82.996
09059 Burgos;Hombre;2022;82.446
09059 Burgos;Mujer;2023;91.589
09059 Burgos;Mujer;2022;90.751
10037 Cáceres;Hombre;2023;46.102
10037 Cáceres;Hombre;2022;45.812
10037 Cáceres;Mujer;2023;50.093
10037 Cáceres;Mujer;2022;49.598
11012 Cádiz;Hombre;2023;52.863
11012 Cádiz;Hombre;2022;53.489
11012 Cádiz;Mujer;2023;59.214
